,teamID,yearID,medianERA,pitcherAverageAge
1173,DET,1961,3.0,28.210526315789473
1174,DET,1962,4.0,27.823529411764707
1175,DET,1963,3.0,27.77777777777778
1176,DET,1964,3.0,27.0
1177,DET,1965,3.0,27.444444444444443
1178,DET,1966,3.0,28.9375
1179,DET,1967,3.0,29.352941176470587
1180,DET,1968,2.0,28.066666666666666
1181,DET,1969,3.0,27.625
1182,DET,1970,4.0,26.375
1183,DET,1971,4.0,27.11111111111111
1184,DET,1972,3.0,26.65
1185,DET,1973,4.0,28.0625
1186,DET,1974,4.0,27.833333333333332
1187,DET,1975,4.0,26.4
1188,DET,1976,4.0,26.666666666666668
1189,DET,1977,4.0,26.2
1190,DET,1978,3.0,26.294117647058822
1191,DET,1979,4.0,25.941176470588236
1192,DET,1980,4.0,27.071428571428573
1193,DET,1981,3.0,26.642857142857142
1194,DET,1982,4.0,27.058823529411764
1195,DET,1983,3.0,28.1875
1196,DET,1984,3.0,29.642857142857142
1197,DET,1985,3.0,30.285714285714285
1198,DET,1986,4.0,29.5
1199,DET,1987,4.0,30.071428571428573
1200,DET,1988,3.0,30.0
1201,DET,1989,4.5,28.90909090909091
1202,DET,1990,4.0,28.15
1203,DET,1991,4.0,29.157894736842106
1204,DET,1992,4.0,28.933333333333334
1205,DET,1993,5.0,29.545454545454547
1206,DET,1994,5.0,30.166666666666668
1207,DET,1995,6.0,28.0
1208,DET,1996,7.0,27.296296296296298
1209,DET,1997,5.0,28.0
1210,DET,1998,4.5,27.3
1211,DET,1999,5.0,27.476190476190474
1212,DET,2000,4.0,28.956521739130434
1213,DET,2001,5.0,28.181818181818183
1214,DET,2002,5.0,27.566666666666666
1215,DET,2003,5.0,26.9
1216,DET,2004,4.0,27.61111111111111
1217,DET,2005,4.0,28.73913043478261
1218,DET,2006,3.0,28.210526315789473
1219,DET,2007,4.0,28.36
1220,DET,2008,4.0,29.28
1221,DET,2009,4.0,27.304347826086957
1222,DET,2010,4.0,26.8
1223,DET,2011,4.0,26.884615384615383
1224,DET,2012,3.0,27.391304347826086
1225,DET,2013,3.5,29.05
1226,DET,2014,4.0,27.5
1227,DET,2015,5.0,28.51851851851852
1228,DET,2016,4.0,28.82608695652174
1229,DET,2017,6.0,27.862068965517242
1230,DET,2018,4.0,28.074074074074073
1231,DET,2019,5.0,28.15625
1232,DET,2020,6.0,26.91304347826087
1233,DET,2021,3.0,27.93103448275862
1234,DTN,1881,4.0,23.0
1235,DTN,1882,2.5,23.25
1236,DTN,1883,3.5,24.125
1237,DTN,1884,3.0,22.5
1238,DTN,1885,3.0,23.571428571428573
1239,DTN,1886,3.0,24.142857142857142
1240,DTN,1887,4.0,24.333333333333332
1241,DTN,1888,2.5,24.333333333333332
1242,ELI,1873,3.5,25.5
1243,FLO,1993,4.0,29.11111111111111
1244,FLO,1994,4.5,29.05
1245,FLO,1995,4.0,28.296296296296298
1246,FLO,1996,4.0,27.26086956521739
1247,FLO,1997,3.0,28.3
1248,FLO,1998,5.0,25.545454545454547
1249,FLO,1999,4.0,26.285714285714285
1250,FLO,2000,4.0,27.944444444444443
1251,FLO,2001,4.0,27.608695652173914
1252,FLO,2002,4.0,26.80952380952381
1253,FLO,2003,4.0,27.59090909090909
1254,FLO,2004,4.0,29.32
1255,FLO,2005,5.0,29.37037037037037
1256,FLO,2006,4.0,25.523809523809526
1257,FLO,2007,5.0,26.838709677419356
1258,FLO,2008,4.0,27.0
1259,FLO,2009,4.0,27.444444444444443
1260,FLO,2010,5.0,27.258064516129032
1261,FLO,2011,3.0,27.363636363636363
1262,FW1,1871,5.0,20.0
1263,HAR,1876,1.0,24.0
1264,HAR,1877,3.0,25.0
1265,HOU,1962,4.0,30.176470588235293
1266,HOU,1963,4.0,27.263157894736842
1267,HOU,1964,3.0,28.352941176470587
1268,HOU,1965,3.0,28.304347826086957
1269,HOU,1966,3.0,27.3
1270,HOU,1967,4.0,28.045454545454547
1271,HOU,1968,3.0,27.071428571428573
1272,HOU,1969,4.0,27.0
1273,HOU,1970,4.0,26.88235294117647
1274,HOU,1971,3.0,25.764705882352942
1275,HOU,1972,4.0,27.214285714285715
1276,HOU,1973,4.0,27.266666666666666
1277,HOU,1974,3.0,27.066666666666666
1278,HOU,1975,4.0,26.866666666666667
1279,HOU,1976,3.0,25.529411764705884
1280,HOU,1977,3.0,25.23076923076923
1281,HOU,1978,3.0,26.866666666666667
1282,HOU,1979,3.0,26.63157894736842
1283,HOU,1980,3.0,28.53846153846154
1284,HOU,1981,2.0,29.583333333333332
1285,HOU,1982,3.0,30.0625
1286,HOU,1983,3.0,28.923076923076923
1287,HOU,1984,3.0,29.928571428571427
1288,HOU,1985,3.0,28.875
1289,HOU,1986,3.0,29.42105263157895
1290,HOU,1987,4.0,29.58823529411765
1291,HOU,1988,3.0,31.866666666666667
1292,HOU,1989,4.0,33.11764705882353
1293,HOU,1990,3.0,30.647058823529413
1294,HOU,1991,3.0,26.94736842105263
1295,HOU,1992,4.0,27.375
1296,HOU,1993,3.0,28.5625
1297,HOU,1994,3.0,27.615384615384617
1298,HOU,1995,4.0,28.842105263157894
1299,HOU,1996,4.0,29.681818181818183
1300,HOU,1997,3.5,28.0
1301,HOU,1998,3.0,28.166666666666668
1302,HOU,1999,4.0,28.266666666666666
1303,HOU,2000,5.0,29.73913043478261
1304,HOU,2001,4.0,28.4
1305,HOU,2002,4.0,28.523809523809526
1306,HOU,2003,4.0,28.782608695652176
1307,HOU,2004,4.0,30.0
1308,HOU,2005,4.0,30.88235294117647
1309,HOU,2006,4.0,29.263157894736842
1310,HOU,2007,4.0,30.047619047619047
1311,HOU,2008,4.0,30.85
1312,HOU,2009,5.0,30.90909090909091
1313,HOU,2010,4.0,29.4
1314,HOU,2011,4.0,27.608695652173914
1315,HOU,2012,4.0,28.076923076923077
1316,HOU,2013,4.0,27.23076923076923
1317,HOU,2014,4.0,28.642857142857142
1318,HOU,2015,3.0,29.416666666666668
1319,HOU,2016,4.0,28.652173913043477
1320,HOU,2017,4.0,28.814814814814813
1321,HOU,2018,3.0,28.90909090909091
1322,HOU,2019,4.0,28.76923076923077
1323,HOU,2020,3.0,27.03846153846154
1324,HOU,2021,4.0,28.580645161290324
1325,HR1,1874,2.0,25.5
1326,HR1,1875,1.0,25.333333333333332
1327,IN1,1878,2.0,23.5
1328,IN2,1884,4.5,23.625
1329,IN3,1887,6.0,24.307692307692307
1330,IN3,1888,4.0,26.88888888888889
1331,IN3,1889,4.5,25.666666666666668
1332,IND,1914,3.5,26.5
1333,KC1,1955,6.0,28.925925925925927
1334,KC1,1956,6.0,28.285714285714285
1335,KC1,1957,4.5,27.55
1336,KC1,1958,3.0,28.8
1337,KC1,1959,4.0,28.6
1338,KC1,1960,4.0,27.77777777777778
1339,KC1,1961,4.0,27.954545454545453
1340,KC1,1962,5.0,27.90909090909091
1341,KC1,1963,3.0,26.0
1342,KC1,1964,4.5,26.333333333333332
1343,KC1,1965,4.0,26.666666666666668
1344,KC1,1966,3.0,25.91304347826087
1345,KC1,1967,3.0,26.25
1346,KC2,1888,4.0,26.0
1347,KC2,1889,4.0,25.636363636363637
1348,KCA,1969,3.0,26.25
1349,KCA,1970,3.0,26.529411764705884
1350,KCA,1971,3.0,27.125
1351,KCA,1972,3.0,27.666666666666668
1352,KCA,1973,4.0,27.125
1353,KCA,1974,3.0,29.46153846153846
1354,KCA,1975,3.0,29.071428571428573
1355,KCA,1976,3.0,28.705882352941178
1356,KCA,1977,3.0,28.615384615384617
1357,KCA,1978,3.0,28.933333333333334
1358,KCA,1979,4.0,28.58823529411765
1359,KCA,1980,4.0,28.8
1360,KCA,1981,3.0,28.0
1361,KCA,1982,4.0,30.2
1362,KCA,1983,4.0,31.055555555555557
1363,KCA,1984,4.0,28.0
1364,KCA,1985,3.5,28.0
1365,KCA,1986,4.0,27.76923076923077
1366,KCA,1987,4.0,29.133333333333333
1367,KCA,1988,3.0,29.0
1368,KCA,1989,4.0,28.88235294117647
1369,KCA,1990,4.0,28.47826086956522
1370,KCA,1991,4.0,28.57894736842105
1371,KCA,1992,3.5,28.363636363636363
1372,KCA,1993,4.0,28.45
1373,KCA,1994,4.0,27.866666666666667
1374,KCA,1995,5.0,28.238095238095237
1375,KCA,1996,5.0,28.842105263157894
1376,KCA,1997,4.0,28.36
1377,KCA,1998,5.0,27.90909090909091
1378,KCA,1999,6.0,26.88888888888889
1379,KCA,2000,5.0,26.75
1380,KCA,2001,4.0,27.57894736842105
1381,KCA,2002,5.0,27.423076923076923
1382,KCA,2003,5.0,29.103448275862068
1383,KCA,2004,5.0,28.32
1384,KCA,2005,5.0,26.454545454545453
1385,KCA,2006,5.0,27.838709677419356
1386,KCA,2007,4.0,28.130434782608695
1387,KCA,2008,4.0,29.04
1388,KCA,2009,5.0,29.91304347826087
1389,KCA,2010,5.0,28.4
1390,KCA,2011,4.0,26.347826086956523
1391,KCA,2012,3.0,27.52
1392,KCA,2013,3.0,28.2
1393,KCA,2014,3.0,28.565217391304348
1394,KCA,2015,3.0,29.75
1395,KCA,2016,3.0,30.095238095238095
1396,KCA,2017,4.0,29.137931034482758
1397,KCA,2018,4.0,27.925925925925927
1398,KCA,2019,5.0,28.1
1399,KCA,2020,4.0,27.48148148148148
1400,KCA,2021,4.0,28.333333333333332
1401,KCF,1914,3.5,27.5
1402,KCF,1915,2.0,26.666666666666668
1403,KCN,1886,4.0,22.833333333333332
1404,KCU,1884,4.0,23.55
1405,KEO,1875,1.0,24.0
1406,LAA,1961,4.0,28.0
1407,LAA,1962,3.5,28.0
1408,LAA,1963,3.0,28.444444444444443
1409,LAA,1964,2.0,28.105263157894736
1410,LAA,2005,3.0,28.77777777777778
1411,LAA,2006,4.0,28.944444444444443
1412,LAA,2007,4.0,29.38888888888889
1413,LAA,2008,4.0,28.05263157894737
1414,LAA,2009,5.0,28.12
1415,LAA,2010,3.0,28.285714285714285
1416,LAA,2011,3.0,28.952380952380953
1417,LAA,2012,4.0,29.434782608695652
1418,LAA,2013,4.0,28.615384615384617
1419,LAA,2014,3.0,28.75
1420,LAA,2015,3.0,28.416666666666668
1421,LAA,2016,4.0,28.433333333333334
1422,LAA,2017,4.0,28.903225806451612
1423,LAA,2018,4.0,28.0
1424,LAA,2019,4.0,27.59375
1425,LAA,2020,5.0,27.88
1426,LAA,2021,4.5,28.8
1427,LAN,1958,4.0,26.894736842105264
1428,LAN,1959,3.0,28.4
1429,LAN,1960,3.0,26.46153846153846
